Date,Open,High,Low,Close,Adj Close,Volume
2020-08-13,170.789993,171.750000,170.479996,171.029999,169.642166,2247200
2020-08-14,170.720001,171.300003,170.380005,170.979996,169.592575,2213900
2020-08-17,171.429993,171.860001,171.389999,171.710007,170.316650,3422400
2020-08-18,172.000000,172.270004,170.979996,171.970001,170.574539,3551400
2020-08-19,172.169998,172.500000,170.990005,171.300003,169.909988,2291000
2020-08-20,170.259995,172.059998,170.190002,171.789993,170.395996,2184400
2020-08-21,171.539993,172.300003,171.410004,172.220001,170.822510,2284500
2020-08-24,173.509995,173.869995,172.869995,173.869995,172.459106,2467500
2020-08-25,174.220001,174.470001,173.419998,174.449997,173.034409,5162700
2020-08-26,174.729996,176.179993,174.479996,176.029999,174.601593,2441100
2020-08-27,176.520004,177.289993,175.529999,176.449997,175.018173,3435300
2020-08-28,177.179993,177.710007,176.539993,177.679993,176.238205,4163100
2020-08-31,177.660004,178.139999,176.949997,177.279999,175.841446,3189600
2020-09-01,177.690002,178.990005,177.169998,178.850006,177.398727,2881500
2020-09-02,180.000000,181.669998,179.009995,181.240005,179.769318,4021900
2020-09-03,180.000000,180.490005,173.509995,174.940002,173.520447,5341400
2020-09-04,175.339996,176.139999,169.199997,173.449997,172.042526,4379900
2020-09-08,170.300003,171.039993,168.360001,168.580002,167.212051,3976000
2020-09-09,170.830002,173.139999,170.330002,171.880005,170.485275,4290400
2020-09-10,173.059998,173.490005,168.600006,169.059998,167.688156,3507600
2020-09-11,170.240005,170.559998,167.500000,169.119995,167.747665,3407700
2020-09-14,171.000000,172.369995,170.600006,171.759995,170.366241,3080800
2020-09-15,173.199997,173.639999,172.110001,172.740005,171.338303,2129700
2020-09-16,173.460007,174.380005,172.070007,172.169998,170.772919,2826900
2020-09-17,169.559998,171.539993,169.220001,170.750000,169.364441,2780400
2020-09-18,171.210007,171.210007,167.529999,169.089996,167.717911,3178000
2020-09-21,166.470001,167.059998,164.270004,167.050003,165.694473,4175300
2020-09-22,167.759995,168.929993,166.369995,168.710007,167.340988,2090900
2020-09-23,169.000000,169.130005,164.350006,164.639999,163.304016,2071400
2020-09-24,163.919998,166.690002,162.850006,164.990005,163.651184,3792200
2020-09-25,163.779999,167.440002,163.529999,166.960007,166.284500,2986000
2020-09-28,169.320007,170.300003,168.889999,169.990005,169.302231,3291300
2020-09-29,169.839996,170.229996,168.690002,169.039993,168.356064,2120600
2020-09-30,169.509995,171.970001,169.250000,170.309998,169.620926,4785600
2020-10-01,171.720001,172.250000,170.610001,171.729996,171.035187,3234100
2020-10-02,168.649994,171.309998,168.229996,170.389999,169.700607,2325600
2020-10-05,171.610001,173.529999,171.330002,173.460007,172.758194,2574200
2020-10-06,173.729996,174.979996,171.009995,171.320007,170.626846,2803300
2020-10-07,172.990005,174.729996,172.940002,174.309998,173.604752,1952400
2020-10-08,175.529999,175.889999,174.880005,175.839996,175.128555,2335200
2020-10-09,176.899994,177.630005,176.440002,177.320007,176.602570,2489200
2020-10-12,178.649994,180.639999,178.410004,179.949997,179.221924,2895800
2020-10-13,179.669998,179.820007,178.429993,179.000000,178.275772,2448900
2020-10-14,179.199997,179.919998,177.490005,177.809998,177.090591,2155600
2020-10-15,175.610001,178.070007,175.160004,177.869995,177.150345,2865300
2020-10-16,178.479996,179.309998,177.550003,177.550003,176.831650,1910200
2020-10-19,178.309998,179.250000,174.619995,175.009995,174.301910,2713800
2020-10-20,175.899994,177.360001,175.240005,175.619995,174.909439,2622900
2020-10-21,175.660004,176.720001,175.020004,175.020004,174.311874,3237200
2020-10-22,175.330002,176.559998,174.119995,176.259995,175.546860,3762200
2020-10-23,176.809998,176.949997,175.460007,176.839996,176.124512,2412700
2020-10-26,175.039993,175.490005,171.600006,173.630005,172.927505,3873600
2020-10-27,173.830002,174.020004,172.820007,172.929993,172.230331,2525200
2020-10-28,169.899994,170.229996,167.009995,167.199997,166.523514,4617500
2020-10-29,167.500000,170.470001,166.500000,168.779999,168.097122,3101000
2020-10-30,167.889999,168.750000,165.020004,166.990005,166.314377,3990400
2020-11-02,168.789993,169.809998,167.160004,168.729996,168.047318,3741600
2020-11-03,170.699997,172.960007,170.339996,171.970001,171.274216,4096000
2020-11-04,174.160004,177.850006,173.690002,175.720001,175.009048,3632100
2020-11-05,178.669998,180.080002,178.410004,179.350006,178.624359,3678100
2020-11-06,179.179993,179.800003,178.080002,179.259995,178.534714,3222100
2020-11-09,187.520004,187.520004,181.119995,181.389999,180.656097,5549800
2020-11-10,181.009995,181.690002,179.089996,181.089996,180.357315,5609200
2020-11-11,182.429993,182.899994,181.589996,182.559998,181.821365,2878800
2020-11-12,181.949997,182.399994,179.699997,180.759995,180.028641,3325700
2020-11-13,181.880005,183.639999,181.580002,183.320007,182.578308,4769900
2020-11-16,185.539993,185.610001,184.089996,185.559998,184.809235,6214800
2020-11-17,184.759995,185.690002,183.610001,185.139999,184.390930,5733100
2020-11-18,185.449997,185.750000,183.169998,183.179993,182.438858,3281900
2020-11-19,183.000000,184.350006,182.210007,184.199997,183.454727,3038500
2020-11-20,184.169998,184.169998,183.160004,183.229996,182.488647,2785700
2020-11-23,184.289993,185.199997,183.369995,184.729996,183.982590,4390900
2020-11-24,186.289993,187.820007,185.600006,187.589996,186.831009,5378100
2020-11-25,187.449997,187.679993,186.570007,187.520004,186.761307,3459400
2020-11-27,188.130005,188.369995,187.679993,188.179993,187.418625,1742500
2020-11-30,188.059998,188.130005,185.539993,186.699997,185.944611,3721800
2020-12-01,189.169998,189.800003,188.649994,189.070007,188.305038,3868700
2020-12-02,188.440002,189.289993,187.800003,189.229996,188.464371,3831400
2020-12-03,189.320007,190.300003,189.020004,189.610001,188.842850,4408600
2020-12-04,190.000000,191.509995,189.990005,191.509995,190.735153,4401400
2020-12-07,191.300003,191.500000,190.619995,191.300003,190.526016,4319700
2020-12-08,190.639999,192.389999,190.600006,192.130005,191.352661,3449000
2020-12-09,192.539993,192.639999,189.509995,190.240005,189.470306,4470500
2020-12-10,189.330002,190.910004,188.710007,190.520004,189.749161,3223500
2020-12-11,189.559998,190.369995,188.600006,190.179993,189.410538,3463000
2020-12-14,191.690002,192.190002,189.580002,189.639999,188.872726,3530500
2020-12-15,191.190002,192.270004,190.380005,192.240005,191.462204,3229200
2020-12-16,192.470001,192.990005,191.889999,192.509995,191.731110,2983900
2020-12-17,193.419998,194.020004,193.210007,194.020004,193.235001,4132800
2020-12-18,194.380005,194.470001,192.210007,193.470001,192.687225,4542100
2020-12-21,191.600006,193.350006,189.820007,192.910004,192.129501,5011900
2020-12-22,193.309998,193.479996,192.210007,192.949997,192.169327,4336000
2020-12-23,193.649994,194.220001,193.160004,193.279999,192.498001,3451400
2020-12-24,192.880005,193.000000,192.240005,192.820007,192.820007,1744000
